Saved Date,Job Url,Job Title,Company Name
"10/25/25, 1:23 AM",http://www.linkedin.com/jobs/view/4309298541,"Director, Product Management, Agentic Commerce",Mastercard
"12/8/25, 7:01 PM",http://www.linkedin.com/jobs/view/4292856432,VP - Business Development,Nium
"2/1/24, 1:07 PM",http://www.linkedin.com/jobs/view/3798320531,Business Development Director,Thunes
"7/16/25, 4:47 PM",http://www.linkedin.com/jobs/view/4236267634,Senior Payments Partnerships Manager,Adyen
"11/8/21, 9:52 AM",http://www.linkedin.com/jobs/view/2780737433,"Director, Acceptance Fintech Fast Track",Visa
"11/11/25, 9:13 PM",http://www.linkedin.com/jobs/view/4337388638,"Account Director, Startups",OpenAI
"1/26/22, 4:47 PM",http://www.linkedin.com/jobs/view/2893443657,"Head of Payment Partnership Operations, Risk and Payments",Meta
"12/8/25, 7:02 PM",http://www.linkedin.com/jobs/view/4337980506,"Vice President, Agentic Strategic Business Development",Mastercard
"11/11/25, 9:18 PM",http://www.linkedin.com/jobs/view/4321570429,"Strategic Account Executive, Startups",Anthropic
"7/17/25, 6:33 PM",http://www.linkedin.com/jobs/view/4201896174,"Account Director, Digital Native",OpenAI
"7/16/25, 4:47 PM",http://www.linkedin.com/jobs/view/4138388981,"Sr. Business Development Manager, Tech, Payments Products",Amazon
"11/23/12, 8:17 AM",http://www.linkedin.com/jobs/view/4105156,Managing Director / CEO / Partner,Natural Resourcing Ltd
"11/4/25, 11:54 PM",http://www.linkedin.com/jobs/view/4310728405,"Director, Partnerships",PayPal
"7/12/25, 8:04 PM",http://www.linkedin.com/jobs/view/4222894725,"Inside Account Director, Startups",OpenAI
"11/4/25, 9:08 PM",http://www.linkedin.com/jobs/view/4253163243,"Industry Executive, Technology Banking, Managing Director",JPMorganChase
"1/16/26, 3:59 PM",http://www.linkedin.com/jobs/view/4353602091,"Director, Payments & Fintech Partnerships",Meta
"5/24/23, 12:17 PM",http://www.linkedin.com/jobs/view/3606895100,"Group Outbound Product Manager, Google Cloud",Google
"9/8/25, 8:43 PM",http://www.linkedin.com/jobs/view/4271388300,Deal Operations Administrator,Palantir Technologies
