Event Name,Event Time,Status,External Url
Fintech Week London 2022,"Jul 11, 2022 07:30 AM - Jul 15, 2022 04:00 PM",APPROVED,https://www.fintechweek.london
ROK Financial's Top Financing Products for Q2!,"Apr 21, 2022 06:00 PM - Apr 21, 2022 07:00 PM",RELINQUISHED,https://us06web.zoom.us/webinar/register/WN_DAIk1MRETwaKm5cY8Z4mSQ
Generative AI Founders Meetup,"May 30, 2024 11:00 PM - May 31, 2024 02:00 AM",APPROVED,
Year End Tax Planning: 7 Smart Tax Moves To Make Before December 31,"Dec 02, 2025 08:00 PM - Dec 02, 2025 08:30 PM",RELINQUISHED,https://loughrycpa.com/tax-talk-tuesday-december-02
State of Fintech. VC Panel. Founder and Funder Opportunities,"Oct 09, 2024 12:30 AM - Oct 09, 2024 03:00 AM",APPROVED,https://www.eventbrite.com/e/state-of-fintech-vc-panel-founder-and-funder-event-sf-tech-week-tickets-977190401797
How to Win Q4 with Creators: Combining Organic and Paid Social,"Sep 25, 2024 05:30 PM - Sep 25, 2024 06:30 PM",RELINQUISHED,https://us06web.zoom.us/webinar/register/WN_nXRPd_T7QmqMQjjK_YiVtQ
"Betting on AI with Hat-Trick Capital, Samsung Catalyst, and Micron Ventures","Jun 26, 2025 01:15 AM - Jun 26, 2025 02:00 AM",APPROVED,https://youtube.com/live/GWB6R6y1q_I
172nd Global Investment Leaders Summit,"May 02, 2024 12:00 PM - May 02, 2024 03:00 PM",RELINQUISHED,https://pif.events/registration-form/
"Art Panel & Exhibition “From physical ART space to NFT world""","Feb 22, 2022 09:30 PM - Feb 22, 2022 11:00 PM",APPROVED,https://bit.ly/3gUk58Q
SEO is dead. Long live YouTube!,"Jul 31, 2025 11:00 AM - Jul 31, 2025 12:00 PM",APPROVED,
A Maturity Model to Secure Mulesoft Environments,"Apr 17, 2024 05:00 PM - Apr 17, 2024 06:00 PM",RELINQUISHED,
Demo for CISOs and Practitioners: Securing Apps and APIs in 2023,"May 16, 2023 05:00 PM - May 16, 2023 06:00 PM",RELINQUISHED,
"AI Talks at Qlay with Experts from AWS, rtrvr.ai and Genspark AI","Sep 23, 2025 01:15 AM - Sep 23, 2025 02:30 AM",APPROVED,https://youtube.com/live/Tt4ZqPm9Iik?feature=share
Service of Speaking Challenge,"Jul 08, 2024 04:00 PM - Jul 12, 2024 05:30 PM",RELINQUISHED,www.serviceofspeaking.com/reserve-now
Fintech Cafe: Founder & CEO of Skyflow (Privacy API),"Nov 11, 2021 01:00 AM - Nov 11, 2021 02:00 AM",APPROVED,https://www.clubhouse.com/event/PN3qe3wx
August 23 LIVE with Vincent and Charlene from EATABLE popcorn,"Aug 23, 2022 03:00 PM - Aug 23, 2022 04:00 PM",APPROVED,
Dock Digital,"Oct 26, 2021 08:30 AM - Oct 27, 2021 03:00 PM",APPROVED,https://informaconnect.com/dock-digital/
Secure Your AI: Protecting Agentic AI in an API-Driven World,"Mar 13, 2025 05:00 PM - Mar 13, 2025 06:00 PM",RELINQUISHED,
Managing Risks Through Innovation and Technology,"Oct 15, 2024 05:00 PM - Oct 15, 2024 06:30 PM",RELINQUISHED,https://events.zoom.us/ev/AnKBIm9yCwlp3dAC7j0Jlz5SkC94MEsVolprcbDdgzN1kFyHEFKB~AtAGuHSK_dN6bK5wiV_Lq9FgQQ3Ugwy-1dWBSA0mywsieJmxyHlyE9AGVA
Workshop: Plan your Pilot & Velocity Migration to the Cloud,"Sep 29, 2022 02:00 PM - Sep 29, 2022 03:00 PM",RELINQUISHED,https://us06web.zoom.us/j/85398676143
Building Company Culture & Intrapreneurship Programs,"Mar 21, 2022 04:00 PM - Mar 21, 2022 05:00 PM",RELINQUISHED,https://www.eventbrite.com/e/building-company-culture-intrapreneurship-programs-tickets-281286384147
The Rockstar Spotlight Session Party: Your 2026 Visibility Tune-Up 🥂,"Dec 11, 2025 10:00 PM - Dec 11, 2025 11:30 PM",RELINQUISHED,https://us06web.zoom.us/meeting/register/zJcZN4m4SD-M_CjNbTR9zg
AI DEBATE 3 : The AGI Debate,"Dec 23, 2022 10:00 PM - Dec 24, 2022 01:00 AM",RELINQUISHED,https://aidebate3.eventbrite.ca
Environmental & Tech In-Person Outdoors Happy Hour!,"Oct 15, 2021 09:00 PM - Oct 15, 2021 11:00 PM",APPROVED,
BaaS Layers & Players | Compliance Testing,"Feb 19, 2026 04:15 PM - Feb 19, 2026 05:15 PM",APPROVED,
2025 Tax Planning Before Filing,"Feb 03, 2026 08:00 PM - Feb 03, 2026 08:30 PM",APPROVED,https://loughrycpa.com/tax-talk-tuesday-february-03
CrossTech World 2022,"Nov 15, 2022 02:00 PM - Nov 18, 2022 03:30 AM",APPROVED,https://crosstechpayments.com/crosstech-world-2022/
Financial Club Networking co-hosted with Nium,"Aug 15, 2024 01:00 AM - Aug 15, 2024 04:00 AM",APPROVED,https://www.tetevents.com/ticket?slug=financial-club-networking-sf-(s02m09)
Applied Artificial Intelligence For SAR Satellite Monitoring,"Aug 25, 2022 09:30 PM - Aug 25, 2022 11:00 PM",APPROVED,https://evt.to/aumdimidw
Producthunt Launch,"Nov 16, 2025 10:00 AM - Nov 17, 2025 09:00 PM",APPROVED,https://www.producthunt.com/products/swytchcode?launch=swytchcode
📣 How to start Security in SaaS Startup - https://bit.ly/3pF9S49,"Dec 16, 2021 07:00 PM - Dec 16, 2021 08:00 PM",APPROVED,
AI Applications for Fintech,"May 08, 2023 04:00 PM - May 08, 2023 05:30 PM",APPROVED,https://www.indina-consulting.com/tech-trends-briefing
"LinkedIn - Mini Series ""What is your Motivation?""","Jun 11, 2025 03:00 PM - Jun 11, 2025 03:30 PM",RELINQUISHED,
🔴 Evolution of API Security,"Oct 13, 2022 06:00 PM - Oct 13, 2022 07:00 PM",RELINQUISHED,
API Security: A 10-year Retrospective,"May 05, 2022 06:00 PM - May 05, 2022 07:00 PM",RELINQUISHED,
CrossTech Payments 2023,"May 11, 2023 04:00 AM - May 12, 2023 04:00 AM",APPROVED,https://crosstechpayments.com/crosstech-payments-2023/
"API Threat Modeling: How to Use STRIDE to Predict, Prevent, and Protect","Dec 10, 2025 06:00 PM - Dec 10, 2025 07:00 PM",RELINQUISHED,
Mastering API Security Testing: Stop BOLA & OWASP Top 10 Before Deployment,"Jul 23, 2025 05:00 PM - Jul 23, 2025 06:00 PM",APPROVED,
When Secure Isn’t Safe: Uncovering OWASP Top 10 Business Logic Abuse,"Sep 10, 2025 05:00 PM - Sep 10, 2025 06:00 PM",RELINQUISHED,
Cloud Migration & Modernization Workshop - Architect your landing zone,"Jul 07, 2022 02:00 PM - Jul 07, 2022 03:00 PM",RELINQUISHED,https://zoom.us/j/91693473007
Integrate AI into your Applications,"Nov 16, 2022 03:00 PM - Nov 16, 2022 03:30 PM",RELINQUISHED,https://us06web.zoom.us/j/88062946146
"Convert content into conversations, automatically, with Knowledge AI","Nov 16, 2021 05:00 PM - Nov 16, 2021 05:30 PM",APPROVED,
ChatTPE: The Implications of FedNow and Real-Time Payments,"Jun 22, 2023 06:00 PM - Jun 22, 2023 06:20 PM",APPROVED,
Q3'22 API ThreatStats Report: DevOps stack under Attack!,"Nov 10, 2022 07:00 PM - Nov 10, 2022 08:00 PM",RELINQUISHED,
Generative AI Palo Alto Meetup,"Aug 02, 2024 01:00 AM - Aug 02, 2024 04:00 AM",APPROVED,
The 3x3 Authority Formula: 3 Ways to Triple Your Bottom Line,"May 02, 2024 03:00 PM - May 02, 2024 04:00 PM",RELINQUISHED,
Claude 4 + Claude Code + Strands Agents in Action | AWS Show & Tell,"Jul 01, 2025 10:30 PM - Jul 01, 2025 11:30 PM",APPROVED,
"LIFE, LINKEDIN, AND LEADERSHIP → THE TROY SHOW","Apr 20, 2022 06:00 PM - Apr 20, 2022 07:00 PM",RELINQUISHED,
Addressing CISOs Priorities In 2023: Wallarm API Security Democast,"Jan 05, 2023 07:00 PM - Jan 05, 2023 08:00 PM",RELINQUISHED,
A CISOs Guide to API Security,"Oct 08, 2025 05:00 PM - Oct 08, 2025 06:00 PM",RELINQUISHED,
Silicon Valley AI Roadshow ,"Mar 27, 2024 01:00 PM - Mar 29, 2024 10:00 PM",APPROVED,https://www.indina-consulting.com/silicon-valley-ai-tech-tour
How to Build a Customer Centric Product in the Digital Economy. ,"Jun 14, 2022 03:00 PM - Jun 14, 2022 04:00 PM",RELINQUISHED,
GGW Sharks #27. Startup Pitch & Networking. Investors & Startups,"Aug 25, 2023 05:00 PM - Aug 25, 2023 07:00 PM",APPROVED,https://www.old.goglobal.world/event-details/ggw-sharks-27
"AI Talks at Qlay w/ Experts from TwelveLabs, Pipelex and Peppr AI (YC W25)","Jul 23, 2025 01:15 AM - Jul 23, 2025 02:30 AM",APPROVED,https://youtube.com/live/qVyXlwQv3HQ?feature=share
Fintech Nexus LatAm 2022,"Dec 13, 2022 02:00 PM - Dec 14, 2022 10:00 PM",APPROVED,https://www.fintechnexus.com/latam/2022/
Effective API Protection with GraphQL and API Policy Enforcement,"Jun 18, 2024 05:00 PM - Jun 18, 2024 06:00 PM",RELINQUISHED,https://us02web.zoom.us/webinar/register/WN_L5p6a8SLTIWK0WU5qNIbkQ
Our Approach to Protecting Your Applications and APIs,"May 26, 2022 06:00 PM - May 26, 2022 07:00 PM",RELINQUISHED,
GGW Sharks #26. Startup Pitch & Networking. Investors & Startups,"Aug 11, 2023 05:00 PM - Aug 11, 2023 07:00 PM",APPROVED,https://us06web.zoom.us/j/81896925705
"Modern APIs, Modern Threats: Why WAFs and API Gateways Aren’t Enough","Aug 13, 2025 05:00 PM - Aug 13, 2025 06:00 PM",RELINQUISHED,
Fintech Cafe: Founder & CEO of Lendio ,"Dec 09, 2021 01:00 AM - Dec 09, 2021 02:00 AM",APPROVED,https://www.clubhouse.com/event/MzYy0L14
2021 FIS Fintech Accelerator,"Jun 09, 2021 04:00 PM - Jun 09, 2021 05:00 PM",APPROVED,http://bit.ly/FISKickoff
Debunking API Security Myths,"May 29, 2025 05:00 PM - May 29, 2025 06:00 PM",RELINQUISHED,
The Latam FinTech Virtual Lunch,"Nov 30, 2022 06:00 PM - Nov 30, 2022 07:30 PM",APPROVED,https://bit.ly/3UncCkJ
The Multifamily Hangout LIVE-Episode 16. Jennifer Staciokas,"Mar 21, 2024 07:00 PM - Mar 21, 2024 08:00 PM",RELINQUISHED,
"Clean Water, Green Hydrogen and Clean Concrete","Aug 06, 2024 06:00 PM - Aug 06, 2024 07:00 PM",RELINQUISHED,https://us02web.zoom.us/j/84323892485
Beat the Bank Budget Cycle: Q4 Starts Now!,"Apr 24, 2024 06:00 PM - Apr 24, 2024 06:30 PM",APPROVED,https://salesqualia.mykajabi.com/Beat-the-Bank-Budget
Washington Elite Gala at Harvard Club NYC,"Jun 22, 2022 10:00 PM - Jun 23, 2022 03:30 AM",RELINQUISHED,http://WashingtonElite.com
The Latin America FinTech Virtual Lunch,"Oct 27, 2022 05:00 PM - Oct 27, 2022 05:30 PM",APPROVED,https://bit.ly/3RFNkw8
🔴 Q2 API Vulnerability Report: Are APIs Really A Threat?,"Aug 08, 2022 06:00 PM - Aug 08, 2022 07:00 PM",RELINQUISHED,
CHATBOT AFRICA & CONVERSATIONAL AI SUMMIT- 💯 % VIRTUAL & ONLINE ,"Mar 03, 2021 10:00 PM - Mar 02, 2022 11:00 PM",APPROVED,
