Date,Status,FullName
2025-10-07 00:10:49,Active,Jamie Neuwirth
2025-10-06 06:36:13,Active,Imogen Mulliner
2025-10-03 09:55:54,Active,Rahul Patil
2025-10-01 05:09:13,Active,Craig DeWitt
2025-10-01 05:06:46,Active,Amir Sarhangi
2025-10-01 01:33:02,Active,Chief  LegalX
2025-10-01 01:00:12,Active,Jon Jones
2025-09-30 01:34:26,Active,Alena Panshina
2025-09-30 01:33:03,Active,Belmer Negrillo
2025-09-29 23:10:06,Active,Andrew Filev
2025-09-29 23:09:59,Active,Alex Shershebnev
2025-09-29 10:58:09,Active,Jay Chodagam
2025-09-29 05:57:40,Active,Matan Grinberg
2025-09-28 21:27:00,Active,Alex Immerman
2025-09-26 06:59:51,Active,Brad Lightcap
2025-09-26 06:57:55,Active,Ali Ghodsi
2025-09-26 06:56:28,Active,Greg Ulrich
2025-09-25 07:28:27,Active,"Chloe Zhu, CFA"
2025-09-24 04:30:12,Active,Matt Judd
2025-09-24 04:28:39,Active,"Jerry Chou, CRCM,CIPP,CAMS"
2025-09-22 23:28:23,Active,Paul Copplestone
2025-09-22 23:27:12,Active,Allan Guo
2025-09-20 22:20:18,Active,Alan Cowen
2025-09-20 22:18:14,Active,Olivia Moore
2025-09-18 08:06:33,Active,Daniel Faddoul
2025-09-18 08:05:01,Active,John L. Connell
2025-09-17 22:54:20,Active,Craig Kelly
2025-09-16 02:01:03,Active,Michael Liu
2025-09-15 07:32:22,Active,Anton Osika
2025-09-15 07:32:19,Active,Mati Staniszewski
2025-09-12 02:24:17,Active,David Holt
2025-09-10 08:11:14,Active,Andrey Vasnetsov
2025-09-10 00:41:00,Active,Karan Vaidya
2025-09-09 19:13:13,Active,William Uppington
2025-09-09 03:41:22,Active,Bob McGrew
2025-09-08 19:54:13,Active,Navin Chaddha
2025-09-05 03:59:26,Active,Louis-Nicolas Roussel
2025-09-04 08:40:31,Active,Robin Lyu
2025-08-29 21:20:38,Active,Pedro Franceschi
2025-08-29 19:38:21,Active,Steve Vassallo
2025-08-28 06:12:50,Active,Max Junestrand
2025-08-27 22:52:32,Active,Raj Dhamodharan
2025-08-27 05:52:05,Active,Raj Parekh
2025-08-27 02:06:31,Active,Jon Lira
2025-08-22 01:57:50,Active,David Solomon
2025-08-20 18:43:50,Active,Ricky Wong
2025-08-18 07:41:59,Active,Patrick Ellis
2025-08-15 09:51:57,Active,Dharminder Singh
2025-08-15 09:50:43,Active,Adam Frankl
2025-08-15 04:07:13,Active,Evgenii Shingarev
2025-08-11 22:47:56,Active,Grace Gong
2025-08-10 05:31:06,Active,Adam Nathan
2025-08-08 02:13:08,Active,Eric Zakariasson
2025-07-31 22:06:24,Active,Shreya Shekhar
2025-07-24 21:59:13,Active,Nellie Levchin
2025-07-24 20:47:01,Active,Ben Lang
2025-07-23 22:00:33,Active,Vasek Mlejnsky
2025-07-23 21:31:48,Active,Jordan Krugman
2025-07-23 21:30:09,Active,Zach Frantz
2025-07-23 20:48:30,Active,Christina Cacioppo
2025-07-23 02:16:18,Active,Tori Seidenstein
2025-07-22 08:23:35,Active,Tuong Tran
2025-07-22 08:23:12,Active,Nikhil Gupta
2025-07-22 00:58:30,Active,"Lindsay Oishi, Ph.D."
2025-07-20 21:58:43,Active,Boris Cherny
2025-07-18 08:56:03,Active,Jordan Dearsley
2025-07-18 08:55:45,Active,Andrii Mazur 🇺🇦
2025-07-18 01:33:07,Active,Nils Schneider
2025-07-17 21:41:44,Active,Will Grannis
2025-07-17 06:54:38,Active,Lior Alexander
2025-07-16 23:42:50,Active,Fauzan Reza Maulana
2025-07-16 02:29:29,Active,Kevin Straszburger
2025-07-16 01:42:11,Active,Kriti Goyal
2025-07-15 21:56:30,Active,Michael Riddering
2025-07-15 21:56:10,Active,Ryo Lu
2025-07-15 21:55:37,Active,Tim Belonax
2025-07-14 21:50:15,Active,Nick Giometti
2025-07-14 21:49:37,Active,Daniel Bolus
2025-07-14 07:18:46,Active,Arushi Somani
2025-07-13 10:26:40,Active,Nat Friedman
2025-07-13 10:25:58,Active,Yann LeCun
2025-07-13 10:25:46,Active,Jack Rae
2025-07-10 09:25:40,Active,Iris Sun
2025-07-07 21:44:21,Active,Jacqueline Ojeda
2025-07-07 20:39:49,Active,Daniel Han
2025-07-07 01:50:20,Active,Josh Whitfield
2025-07-02 00:06:02,Active,Adam Bluhm
2025-07-01 22:38:52,Active,Anil Nadiminti
2025-07-01 22:37:55,Active,Eric Burns
2025-07-01 02:49:41,Active,Haz Hubble
2025-07-01 02:46:27,Active,Sujee Maniyam
2025-06-30 10:01:38,Active,John Saw
2025-06-29 22:43:15,Active,Pascal BORNET
2025-06-28 02:19:58,Active,Peter Walker
2025-06-25 07:28:28,Active,Meg McWilliams
2025-06-25 00:38:21,Active,Sachin Kumar
2025-06-24 01:30:39,Active,Tayo Adesanya
2025-06-23 22:16:45,Active,Reed Hastings
2025-06-22 21:46:43,Active,Joseph Guo
2025-06-20 19:31:43,Active,Nik Shevchenko
2025-06-19 23:08:08,Active,John Rush
2025-06-13 08:08:22,Active,William Hockey
2025-06-11 19:46:15,Active,Hannah (Shatzen) Lockhart
2025-06-07 07:18:50,Active,David Carvalho
2025-06-07 06:45:42,Active,"Nicolas Khonaysser, MBA"
2025-06-07 06:27:00,Active,Josh Wadinski
2025-06-07 06:25:34,Active,Gargi Kand
2025-06-07 06:24:56,Active,Josh Constine
2025-06-07 06:21:48,Active,Steve Chen
2025-06-01 22:24:16,Active,Nabil Manji
2025-05-31 06:21:14,Active,Dave Fontenot
2025-05-29 20:23:57,Active,Grant Evans
2025-05-29 20:23:41,Active,Joff Redfern
2025-05-29 18:33:51,Active,Demi Obayomi
2025-05-29 02:00:30,Active,Annie Pearl
2025-05-28 22:18:16,Active,Hazim Mohamad
2025-05-28 08:31:42,Active,Phoebe Fan
2025-05-25 08:16:31,Active,Felix Kues
2025-05-25 06:42:46,Active,Marc Manara
2025-05-22 01:45:37,Active,Arthur Soroken
2025-05-21 06:54:12,Active,Emily Chang
2025-05-20 22:50:16,Active,Demis Hassabis
2025-05-19 04:39:50,Active,Nathan McCauley
2025-05-17 04:34:07,Active,"Sarah Laszlo, PhD"
2025-05-16 05:19:08,Active,Patrick S. Chung
2025-05-15 22:10:17,Active,Bob Sneed
2025-05-15 19:01:48,Active,Erin McCune
2025-05-15 18:58:53,Active,Sean Yu
2025-05-15 17:49:57,Active,Rachel Pike
2025-05-13 21:20:18,Active,Rosanna Catalano
2025-05-13 18:45:50,Active,Natasha Pollayil
2025-05-09 02:37:30,Active,Karan Singh
2025-05-08 20:29:12,Active,Alok Jariwala
2025-05-07 23:49:08,Active,Patrick Spychalski
2025-05-07 07:01:47,Active,Neetika Bansal
2025-05-07 07:01:02,Active,Erik Nordlander
2025-05-07 06:53:49,Active,Gagan Mac
2025-05-07 03:56:07,Active,Zach Abrams
2025-05-06 21:38:20,Active,Jeff Weinstein
2025-05-06 21:36:02,Active,Abhishek 'AJ' Joshi
2025-05-06 21:26:48,Active,Brian Ortiz
2025-05-06 20:49:38,Active,Cameron Moll
2025-05-03 02:42:55,Active,Ryan McInerney
2025-05-02 02:19:52,Active,Faquiry Diaz Cala
2025-04-30 20:11:06,Active,Britton Winterrose
2025-04-29 21:58:08,Active,Jeff Pomeroy
2025-04-29 21:57:30,Active,Michelle Gill
2025-04-29 21:57:02,Active,Prakhar Mehrotra
2025-04-29 21:56:38,Active,Srini Venkatesan
2025-04-29 21:53:04,Active,Alex Chriss
2025-04-28 22:22:00,Active,Tedd Huff
2025-04-27 22:55:25,Active,Amy Wu Martin
2025-04-25 00:57:14,Active,Alexey Ivanov
2025-04-25 00:50:01,Active,"Elena Lenena, Ph.D"
2025-04-22 04:45:40,Active,Mustafa Suleyman
2025-04-16 04:24:58,Active,Nina Lopatina
2025-04-15 04:21:31,Active,Laura Gibson-Lamothe
2025-04-11 21:08:21,Active,"Jillian Bommarito, CPA, CIPP/US/E"
2025-04-11 21:08:10,Active,Michael Bommarito
2025-04-08 01:38:47,Active,Sahar Mor
2025-04-08 01:20:15,Active,Brace Sproul
2025-04-03 07:24:58,Active,"Ahsan Habib, MBA, CAMS, FIS"
2025-04-02 06:44:43,Active,Lluis Faus
2025-04-02 01:12:38,Active,Alon Peleg
2025-04-01 09:38:49,Active,Gabe Pereyra
2025-04-01 05:13:31,Active,Olena  Kholina
2025-03-30 23:42:55,Active,Ju-Seung Byun
2025-03-29 08:49:56,Active,Yuechen Zhao
2025-03-27 20:29:22,Active,Manny Starr
2025-03-24 22:00:32,Active,Jake Heller
2025-03-20 02:41:33,Active,Ashmeet Sidana
2025-03-20 02:40:20,Active,"Elena Itskovich, PhD"
2025-03-19 02:15:52,Active,"Kevin Chen, PhD"
2025-03-16 06:11:57,Active,Bill Tai
2025-03-15 20:34:22,Active,Eytan Messika
2025-03-14 00:45:54,Active,Nabeel Ahmed
2025-03-13 22:08:39,Active,Mike Burkov
2025-03-13 22:06:29,Active,Levon Sarkisian
2025-03-13 21:58:59,Active,Cyril Kondratenko
2025-03-13 21:58:00,Active,Gleb Kholodov
2025-03-13 21:57:24,Active,🖱️ Vasily Pantyukhin
2025-03-13 19:38:23,Active,Amanda Zhu
2025-03-13 01:10:57,Active,Neil Kanungo
2025-03-13 00:31:59,Active,Olaf Hubel
2025-03-12 22:30:38,Active,Cedric Vidal
2025-03-12 19:02:26,Active,Mark Chen
2025-03-07 03:43:00,Active,Kelly Graziadei
2025-03-07 03:42:27,Active,Jeanine Suah
2025-03-07 02:02:27,Active,William Gaybrick
2025-03-05 01:17:23,Active,Katerina Fialkovskaya
2025-03-01 02:07:30,Active,Gintaras Siniauskas
2025-03-01 02:07:28,Active,Dmitry Shurin
2025-03-01 02:06:29,Active,Marina Davidova
2025-02-22 23:30:33,Active,Pedro KC Santos
2025-02-22 20:06:36,Active,"Abdullah Farqaleet, CFA"
2025-02-22 20:06:00,Active,Joanne Hoang
2025-02-21 08:48:19,Active,Neal Patel
2025-02-21 08:47:00,Active,Matthew Chang
2025-02-21 08:39:28,Active,🗽 Pat Utz
2025-02-18 16:55:45,Active,Dane Vahey
2025-02-18 08:18:37,Active,Blake Scholl
2025-02-13 10:46:33,Active,Laura Lenz
2025-02-12 02:16:03,Active,Fiona Ma
2025-02-11 02:29:13,Active,Lorenze Jay Hernandez
2025-02-09 19:28:18,Active,Sandy Naidu
2025-01-31 23:21:28,Active,Conrad Wadowski
2025-01-30 03:09:52,Active,Daniel Fetner
2025-01-30 03:06:21,Active,David Goldberg
2025-01-26 01:01:45,Active,John Balen
2025-01-22 19:56:42,Active,Mikko Kiiskila
2025-01-19 10:06:27,Active,Jeff Dean
2025-01-16 01:57:34,Active,Tom Aarsen
2025-01-14 07:05:40,Active,Alex Dang
2025-01-12 07:00:43,Active,Arjun V Paul .
2025-01-08 22:52:32,Active,Bill Sun
2025-01-08 09:18:57,Active,Ivan Landabaso
2025-01-07 21:44:40,Active,Ivelina Dineva
2025-01-06 22:38:57,Active,Vyacheslav Kim
2025-01-06 22:37:29,Active,Mikhail Lomtadze
2025-01-06 07:18:50,Active,Boris Gamazaychikov
2025-01-06 06:09:14,Active,Michael Talan
2025-01-06 03:26:02,Active,Warren Barkley
2025-01-06 03:21:03,Active,Greg Isenberg
2025-01-06 03:20:57,Active,Mission Dolores Manor
2025-01-05 10:38:35,Active,Jamie Grant
2025-01-05 07:48:36,Active,Alex Reibman
2025-01-05 03:39:54,Active,Ahsen Khaliq
2025-01-05 03:39:06,Active,Yuandong Tian
2024-12-31 07:28:15,Active,Kyle Thomas
2024-12-25 04:46:40,Active,Andrew Ng
2024-12-25 04:36:49,Active,Neil Hoyne
2024-12-25 04:36:22,Active,Yuliya Chernova
2024-12-21 00:45:28,Active,Elena Samuylova
2024-12-16 05:47:41,Active,Brad Flora
2024-12-12 19:48:09,Active,Chris Brown
2024-12-11 18:56:24,Active,Daniel Lurie 丹尼爾·羅偉
2024-12-10 07:55:59,Active,John Allard
2024-12-10 07:54:25,Active,Justin Reese
2024-12-08 20:15:28,Active,Bayram Annakov
2024-11-30 04:03:33,Active,Victor R. Cardona
2024-11-28 17:30:05,Active,Leonard Burger
2024-11-23 02:18:37,Active,Andy Jassy
2024-11-19 22:46:20,Active,Margarita Geleta
2024-11-19 22:40:45,Active,Joe Felter
2024-11-16 22:27:13,Active,Michelle Aguinis
2024-11-16 22:26:23,Active,Tiffany Spencer
2024-11-04 21:30:00,Active,Aparna Dhinakaran
2024-11-02 18:50:52,Active,Tim Tully
2024-11-02 17:53:25,Active,Alison Bunnell
2024-11-02 17:53:21,Active,Benjamin Mann
2024-10-31 07:52:17,Active,Andrew Romans
2024-10-30 22:08:11,Active,Cuy Sheffield
2024-10-30 04:31:17,Active,Ashton Kutcher
2024-10-29 17:09:23,Active,Jane Alexander
2024-10-29 05:06:22,Active,Pranay Shetty
2024-10-29 05:03:31,Active,"Kirsten Muetzel, CPA"
2024-10-29 05:02:10,Active,Dana Lawrence
2024-10-29 00:04:54,Active,Bianca Caban
2024-10-28 22:29:37,Active,Sheetal Parikh
2024-10-28 20:33:46,Active,Topher Haddad
2024-10-28 05:43:11,Active,Miller Rodriguez
2024-10-27 18:49:18,Active,Pryce A. Yebesi
2024-10-27 07:20:01,Active,"Marily Nika, Ph.D"
2024-10-24 19:44:54,Active,Matt Murphy
2024-10-11 20:50:43,Active,Lauren Kolodny
2024-10-11 07:39:07,Active,Shyamal Hitesh Anadkat
2024-10-07 00:21:23,Active,Jared Friedman
2024-09-29 06:47:42,Active,Div Garg
2024-09-29 06:46:46,Active,Sara Thomas Deshpande
2024-09-17 02:30:20,Active,Patsy Grannan
2024-09-17 02:29:17,Active,David Sanchez
2024-09-08 21:46:53,Active,Biao (Frank) Wang
2024-09-08 21:40:55,Active,John Scrudato
2024-09-08 21:38:08,Active,Aparna Sinha
2024-09-08 20:15:58,Active,Jack Benedict
2024-09-08 20:15:46,Active,Rak Garg
2024-09-08 20:14:46,Active,John Nay
2024-09-08 17:50:30,Active,Mark Bain
2024-09-08 04:24:45,Active,Pauliina Meskanen
2024-09-07 23:56:36,Active,Manuel Faysse
2024-09-04 20:35:55,Active,Noah Kagan
2024-08-15 22:57:18,Active,Connie Chan
2024-08-10 07:49:08,Active,Jay Zeidman
2024-08-10 07:41:47,Active,Kuzma Ledenev
2024-08-09 02:45:46,Active,Irfan Ganchi
2024-08-07 09:44:02,Active,Jo Zhu Kennedy
2024-07-31 03:08:16,Active,Christine Kim
2024-07-30 01:05:59,Active,Anna Anisimova
2024-07-25 18:27:45,Active,Jason Fitch
2024-07-24 23:19:34,Active,Ashu Garg
2024-07-22 23:32:27,Active,Kimberly Cisek
2024-07-19 00:05:35,Active,C.C. Gong
2024-07-18 21:49:51,Active,Max Pog
2024-07-13 00:41:43,Active,Bill Liu
2024-07-11 02:14:59,Active,Connor J. Wilson
2024-07-10 23:15:48,Active,Faizaan Charania
2024-07-08 21:11:07,Active,Nicole DeTommaso
2024-07-08 21:09:48,Active,Dasha Kroshkina
2024-07-08 20:39:43,Active,Shobhit Varshney
2024-07-04 05:39:43,Unfollow,Vera Maslova
2024-06-30 23:28:19,Active,Dmytro Savchenko
2024-06-29 02:25:38,Active,Maggie Gray
2024-06-29 02:25:37,Active,Ethan Klein
2024-06-29 01:59:44,Active,Pavan Gill
2024-06-29 01:26:32,Active,🚀👨🏾‍💻Faraz Khan
2024-06-29 01:26:18,Active,Alder D. Riley
2024-06-28 03:55:29,Active,William Zeng
2024-06-28 01:55:12,Active,Lisa Yu
2024-06-27 23:30:41,Active,Aravind Srinivas
2024-06-25 23:00:06,Active,"Mike Maples, Jr"
2024-06-25 22:54:43,Active,Suffiyan Malik
2024-06-24 02:42:20,Active,Sampriti Bhattacharyya
2024-06-24 00:23:36,Active,Flora Wang
2024-06-22 02:57:01,Active,Angel Burgos
2024-06-21 00:57:49,Active,Erika Bahr
2024-06-18 04:31:34,Active,Brandon Nydick
2024-06-17 23:03:43,Active,Jørn Lyseggen
2024-06-17 23:02:15,Active,Ryan Cunningham
2024-06-17 23:01:44,Unfollow,Ryan Cunningham
2024-06-17 23:01:28,Active,Bogdan Cristei  🇷🇴🇪🇺🇺🇸
2024-06-13 21:53:42,Active,Alex Meredith
2024-06-12 22:32:55,Active,Enam Chowdhury
2024-05-24 02:19:23,Active,Alex Albert
2024-05-20 18:09:35,Active,Sakshi Gupta
2024-05-16 04:54:04,Active,Sam Aarons
2024-05-16 00:45:20,Active,Logan Kilpatrick
2024-05-16 00:37:11,Active,Mike Krieger
2024-05-14 23:08:13,Active,Sundar  Pichai
2024-05-14 22:54:35,Active,Josh Gordon
2024-05-14 22:54:02,Active,Joana Carrasqueira
2024-05-11 00:06:20,Active,Sarvesh Karkhanis
2024-05-08 03:43:53,Active,Kevin Scott
2024-05-05 01:30:31,Active,Gloria Chyr
2024-05-04 23:00:39,Active,Kevin Ortiz
2024-05-02 17:14:12,Active,Walter DE BROUWER
2024-05-02 15:05:19,Active,🚀 Daniël Rood
2024-05-02 15:04:59,Active,Derek Freel
2024-05-02 15:03:23,Active,Richard Ashby
2024-04-30 21:01:20,Active,Antonio U. DeLorenzo
2024-04-26 02:07:29,Active,Chris Yeh
2024-04-25 20:05:25,Active,Ted Getten
2024-04-25 09:26:44,Active,Patrick Collison
2024-04-25 09:24:44,Active,John Collison
2024-04-19 16:35:16,Active,Rajat Taneja
2024-04-15 03:48:25,Active,Toby Tobkin
2024-04-15 03:46:49,Active,Jay Mandal
2024-04-11 04:09:49,Active,Jensen Huang
2024-04-11 04:05:27,Active,Joseph Dormani
2024-04-11 03:55:28,Active,Tatyana Kratunova
2024-04-10 16:45:28,Active,Caitlin White
2024-04-10 16:07:29,Active,Jennifer Lim
2024-04-09 14:39:37,Active,David McLaughlin
2024-04-08 22:17:28,Active,Francis X. Suarez
2024-04-08 17:32:05,Active,Julien Chaumond
2024-04-08 12:55:40,Active,Priscila Sorenson
2024-04-07 17:47:02,Active,Clem Delangue 🤗
2024-04-07 15:08:04,Active,Shreyas Doshi
2024-04-07 15:07:58,Active,Shelly Hershkovitz
2024-04-07 15:07:53,Active,Laurie Richardson
2024-04-07 15:06:18,Active,Phil Venables
2024-04-07 15:05:49,Active,Burhan Sebin
2024-04-05 04:42:59,Active,Max Reiff
2024-03-29 04:52:40,Active,Rahul Parundekar
2024-03-28 15:21:33,Active,Sissie Hsiao
2024-03-26 07:29:17,Active,Vincent Granville
2024-03-26 04:54:59,Active,Andy Ozment
2024-03-26 04:53:36,Active,Bharat Shah
2024-03-26 04:48:31,Active,Winston Weinberg
2024-03-26 01:35:16,Active,Rubén Domínguez Ibar
2024-03-26 01:33:10,Active,Larry Fink
2024-03-26 01:33:07,Active,Jamie Dimon
2024-03-26 00:09:11,Active,Ivanha Paz
2024-03-25 04:19:46,Active,Advait Ruia
2024-03-25 00:30:27,Active,Lex Sokolin
2024-03-22 17:50:00,Active,Ilya Strebulaev
2024-03-22 17:30:07,Active,Gil Elbaz
2024-03-21 21:35:21,Active,Sarah Guo
2024-03-21 21:35:01,Active,Gary Pesola
2024-03-21 19:57:05,Active,Pieter Verhoeven
2024-03-21 19:56:45,Active,"Sophia Yang, Ph.D."
2024-03-21 19:51:57,Active,Devendra Chaplot
2024-03-21 19:36:27,Active,Jeff Boudier
2024-03-21 06:24:53,Active,Arthur Mensch
2024-03-21 02:33:23,Active,Arash Afrakhteh
2024-03-20 00:06:52,Active,Daniel Coccia
